8.320000e+0;0.000000e+0
8.500000e+0;2.600000e-22
1.000000e+1;1.800000e-21
1.250000e+1;1.050000e-20
1.500000e+1;2.140000e-20
2.000000e+1;3.730000e-20
3.000000e+1;3.570000e-20
4.000000e+1;2.850000e-20
5.000000e+1;2.400000e-20
6.000000e+1;2.100000e-20
7.000000e+1;1.850000e-20
8.000000e+1;1.660000e-20
9.000000e+1;1.520000e-20
1.000000e+2;1.380000e-20
1.500000e+2;1.000000e-20
2.000000e+2;8.000000e-21
3.000000e+2;5.680000e-21
5.000000e+2;3.950000e-21
7.000000e+2;3.020000e-21
1.000000e+3;2.310000e-21
2.000000e+3;1.320000e-21
3.000000e+3;9.500000e-22
4.000000e+3;7.500000e-22